t,dim_1
965,8.016716083488512e-5
966,8.016712598094113e-5
967,8.01670921228566e-5
968,8.016705926063074e-5
969,8.016702739426263e-5
970,8.016699652375152e-5
971,8.01669666490966e-5
972,8.016693777029724e-5
973,8.016690988735263e-5
974,8.016688300026202e-5
975,8.016685710902491e-5
976,8.016683221364045e-5
977,8.016680831410817e-5
978,8.016678541042744e-5
979,8.016676350259759e-5
980,8.01667425906182e-5
981,8.016672267448868e-5
982,8.016670375420855e-5
983,8.016668582977733e-5
984,8.016666890119453e-5
985,8.01666529684598e-5
986,8.01666380315727e-5
987,8.016662409053289e-5
988,8.016661114533999e-5
989,8.016659919599368e-5
990,8.016658824249369e-5
991,8.016657828483971e-5
992,8.016656932303149e-5
993,8.016656135706881e-5
994,8.016655438695152e-5
995,8.016654841267935e-5
996,8.016654343425229e-5
997,8.016653945167005e-5
998,8.016653646493273e-5
999,8.016653447404006e-5
1000,8.016653347899209e-5
1001,8.016653347978878e-5
1002,8.016653447643009e-5
1003,8.016653646891612e-5
1004,8.016653945724688e-5
1005,8.016654344142241e-5
1006,8.016654842144287e-5
1007,8.016655439730834e-5
1008,8.016656136901897e-5
1009,8.016656933657497e-5
1010,8.016657829997653e-5
1011,8.016658825922388e-5
1012,8.016659921431722e-5
1013,8.01666111652569e-5
1014,8.016662411204314e-5
1015,8.016663805467632e-5
1016,8.016665299315672e-5
1017,8.016666892748482e-5
1018,8.016668585766093e-5
1019,8.016670378368554e-5
1020,8.016672270555902e-5
1021,8.016674262328191e-5
1022,8.016676353685466e-5
1023,8.016678544627785e-5
1024,8.016680835155195e-5
1025,8.016683225267764e-5
1026,8.016685714965544e-5
1027,8.016688304248597e-5
1028,8.01669099311699e-5
1029,8.01669378157079e-5
1030,8.016696669610064e-5
1031,8.016699657234889e-5
1032,8.016702744445336e-5
1033,8.016705931241481e-5
1034,8.016709217623409e-5
1035,8.016712603591199e-5
1036,8.016716089144937e-5
1037,8.016719674284704e-5
1038,8.016723359010598e-5
1039,8.01672714332271e-5
1040,8.01673102722113e-5
1041,8.01673501070596e-5
1042,8.016739093777294e-5
1043,8.01674327643524e-5
1044,8.016747558679897e-5
1045,8.016751940511375e-5
1046,8.016756421929785e-5
1047,8.016761002935236e-5
1048,8.01676568352785e-5
1049,8.016770463707729e-5
1050,8.016775343475006e-5
