t,μ_1,μ_2,μ_3,μ_4,μ_5,μ_6,σ2_1,σ2_2,σ2_3,σ2_4,σ2_5,σ2_6
545,2165.175002290909,97.97109333046178,0.6433102162091267,-0.29273950944815735,-0.02083423282047883,-0.000544520561987392,0.014249717038860174,0.021035910050419847,0.12156696443237976,0.01190155445032881,1.5683390420914472e-5,7.38610260967415e-8
546,2174.9752793003395,98.03395718013995,0.5634483851267448,-0.2948256560051324,-0.020888680734660908,-0.0005441754887652484,0.014249717038859659,0.02103591004517197,0.12156694554764494,0.011894000397144524,1.568373294879395e-5,7.377686719680058e-8
547,2184.781443038388,98.08882440661881,0.48276289274145984,-0.2969172455470403,-0.020943094078348688,-0.0005438308329740215,0.01424971703885914,0.021035910039924915,0.12156692666611743,0.01188644754117174,1.5684075590290213e-5,7.369374537699876e-8
548,2194.5926897259637,98.13561261624666,0.40399295110650324,-0.2990142746195811,-0.020997472901313714,-0.0005434866005294551,0.014249717038858623,0.021035910034679035,0.12156690778907696,0.01187889639490884,1.5684416664413944e-5,7.361165226995135e-8
549,2204.408221031908,98.17451333722244,0.3298812303107763,-0.3011167397787506,-0.021051817253774592,-0.0005431427965415187,0.014249717038858096,0.021035910029434644,0.1215668889177954,0.011871347467638153,1.5684754521071454e-5,7.353057953501225e-8
550,2214.2272714990945,98.20599236462044,0.26168016335336686,-0.3032246375882122,-0.021106127185587062,-0.0005427994253799938,0.014249717038857598,0.0210359100241922,0.12156687005353668,0.01186380126538239,1.5685087540792838e-5,7.345051885855405e-8
551,2224.0491285111684,98.23064073675866,0.1998319381875337,-0.3053379646183431,-0.021160402746115855,-0.0005424564907553393,0.01424971703885711,0.021035910018951987,0.12156685119755575,0.011856258290862131,1.5685414134462065e-5,7.337146195424655e-8
552,2233.873140768838,98.24909371048543,0.14508434577435156,-0.30745671744543956,-0.021214643984044337,-0.0005421139958234453,0.014249717038856592,0.021035910013714285,0.12156683235110005,0.011848719043454392,1.5685732743046448e-5,7.32934005633289e-8
553,2243.6987242321775,98.26206132198854,0.09867514923243179,-0.3095808926522227,-0.02126885094714995,-0.0005417719432975023,0.014249717038856101,0.0210359100084796,0.12156681351540817,0.01184118401915216,1.5686041837328156e-5,7.321632645488032e-8
554,2253.525372053418,98.27037738404736,0.060780446089127846,-0.3117104868265137,-0.02132302368221822,-0.0005414303355695756,0.01424971703885561,0.02103591000324809,0.12156679469170978,0.011833653710525083,1.568633991763545e-5,7.314023142608475e-8
