t,dim_1
846,4.517837126915096e-5
847,4.5178218377665235e-5
848,4.517806647932966e-5
849,4.517791557413745e-5
850,4.517776566208199e-5
851,4.517761674315654e-5
852,4.517746881735454e-5
853,4.517732188466939e-5
854,4.5177175945094544e-5
855,4.517703099862353e-5
856,4.5176887045249885e-5
857,4.5176744084967255e-5
858,4.5176602117769234e-5
859,4.5176461143649554e-5
860,4.517632116260195e-5
861,4.517618217462016e-5
862,4.517604417969802e-5
863,4.517590717782945e-5
864,4.517577116900829e-5
865,4.5175636153228545e-5
866,4.5175502130484165e-5
867,4.5175369100769236e-5
868,4.5175237064077855e-5
869,4.517510602040412e-5
870,4.5174975969742216e-5
871,4.5174846912086364e-5
872,4.5174718847430804e-5
873,4.517459177576989e-5
874,4.517446569709796e-5
875,4.5174340611409396e-5
876,4.5174216518698646e-5
877,4.517409341896021e-5
878,4.5173971312188574e-5
879,4.517385019837835e-5
880,4.517373007752417e-5
881,4.517361094962064e-5
882,4.517349281466252e-5
883,4.517337567264451e-5
884,4.517325952356142e-5
885,4.5173144367408134e-5
886,4.517303020417947e-5
887,4.51729170338704e-5
888,4.517280485647585e-5
889,4.517269367199088e-5
890,4.517258348041051e-5
891,4.517247428172988e-5
892,4.517236607594411e-5
893,4.517225886304837e-5
894,4.517215264303796e-5
895,4.5172047415908114e-5
896,4.517194318165414e-5
897,4.5171839940271454e-5
898,4.517173769175543e-5
899,4.517163643610154e-5
900,4.517153617330527e-5
901,4.517143690336218e-5
902,4.5171338626267846e-5
903,4.51712413420179e-5
904,4.517114505060805e-5
905,4.517104975203398e-5
906,4.517095544629145e-5
907,4.5170862133376296e-5
908,4.517076981328437e-5
909,4.517067848601153e-5
910,4.517058815155374e-5
911,4.517049880990701e-5
912,4.517041046106734e-5
913,4.517032310503082e-5
914,4.5170236741793564e-5
915,4.51701513713517e-5
916,4.51700669937015e-5
917,4.516998360883916e-5
918,4.516990121676098e-5
919,4.51698198174633e-5
920,4.516973941094252e-5
921,4.516965999719508e-5
922,4.51695815762174e-5
923,4.5169504148006024e-5
924,4.516942771255749e-5
925,4.516935226986847e-5
926,4.516927781993552e-5
927,4.516920436275539e-5
928,4.516913189832481e-5
929,4.516906042664053e-5
930,4.516898994769938e-5
931,4.516892046149825e-5
932,4.516885196803403e-5
933,4.516878446730369e-5
934,4.516871795930423e-5
935,4.516865244403268e-5
936,4.516858792148614e-5
937,4.516852439166174e-5
938,4.516846185455664e-5
939,4.5168400310168096e-5
940,4.516833975849333e-5
941,4.516828019952972e-5
942,4.516822163327454e-5
943,4.516816405972522e-5
944,4.516810747887921e-5
945,4.5168051890733984e-5
946,4.5167997295287066e-5
947,4.516794369253606e-5
948,4.516789108247853e-5
949,4.5167839465112186e-5
950,4.516778884043471e-5
951,4.516773920844387e-5
952,4.516769056913746e-5
953,4.51676429225133e-5
954,4.516759626856925e-5
955,4.5167550607303285e-5
956,4.516750593871336e-5
957,4.516746226279748e-5
958,4.516741957955373e-5
959,4.5167377888980154e-5
960,4.516733719107497e-5
961,4.516729748583632e-5
962,4.516725877326248e-5
963,4.5167221053351686e-5
964,4.5167184326102284e-5
965,4.516714859151264e-5
966,4.5167113849581174e-5
967,4.516708010030632e-5
968,4.516704734368662e-5
969,4.516701557972058e-5
970,4.5166984808406794e-5
971,4.5166955029743874e-5
972,4.516692624373054e-5
973,4.5166898450365504e-5
974,4.5166871649647494e-5
975,4.516684584157536e-5
976,4.516682102614793e-5
977,4.516679720336412e-5
978,4.516677437322288e-5
979,4.516675253572314e-5
980,4.516673169086401e-5
981,4.516671183864448e-5
982,4.5166692979063734e-5
983,4.516667511212089e-5
984,4.516665823781519e-5
985,4.5166642356145855e-5
986,4.5166627467112185e-5
