t,mu,var,truth,obs,residual,abs_residual,residual2
144.0,-5.410598772135478,5.774786322706982,9.656577765492774,9.283044175022905,15.067176537628251,15.067176537628251,227.01980881605525
145.0,-3.382133659957333,5.7859660498525445,9.34895055524683,9.5507221924638,12.731084215204163,12.731084215204163,162.0805052946206
146.0,-1.4607006785584407,5.8078306478192605,8.947911721405035,12.18935364357911,10.408612399963475,10.408612399963475,108.33921209267342
147.0,0.3993816069900305,5.8363556127686325,8.457468311429334,11.450129893269015,8.058086704439305,8.058086704439305,64.93276133626149
148.0,0.946900086637794,5.853960101890229,7.882520673753163,8.569239985102413,6.935620587115369,6.935620587115369,48.102832928418536
149.0,2.0217138986738323,5.86768997968578,7.22881349511976,6.610278260191163,5.207099596445928,5.207099596445928,27.113886207307342
150.0,3.208875709007711,5.879800012351896,6.502878401571168,-0.48370064169609783,3.294002692563457,3.294002692563457,10.850453738615306
151.0,3.625004720379114,5.884733871567497,5.711968696599872,7.87897492335879,2.086963976220758,2.086963976220758,4.355418638043156
152.0,4.032044468721664,5.884373921350714,4.863986888537982,2.182463171519417,0.8319424198163174,0.8319424198163174,0.6921281898898298
153.0,3.4731035276768467,5.880846870258752,3.967405731306121,2.477393392512151,0.49430220362927413,0.49430220362927413,0.2443346685127564
154.0,3.309237767065101,5.873685341591638,3.0311835674570227,0.28808340215719097,-0.27805419960807853,0.27805419960807853,0.07731413791968918
155.0,2.445605065222078,5.867250531499653,2.064674819377966,-1.4061541148457093,-0.38093024584411195,0.38093024584411195,0.14510785219885558
156.0,1.879930310503045,5.859381829438124,1.077536522994423,5.308702103345644,-0.802393787508622,0.802393787508622,0.6438357902324316
157.0,1.4026700407594288,5.850067284998386,0.07963183785935567,1.721886591761971,-1.3230382029000731,1.3230382029000731,1.750430086333055
158.0,0.15745990903956839,5.8457992853914424,-0.9190685022768164,-4.236867226379668,-1.0765284113163847,1.0765284113163847,1.1589134203713791
159.0,-1.2458298697032673,5.847135671233562,-1.9085858137418938,-2.3054967971972684,-0.6627559440386266,0.6627559440386266,0.43924544135853116
160.0,-2.3942673574125513,5.849569402352938,-2.879033166650653,3.4956925658552533,-0.48476580923810175,0.48476580923810175,0.23499788980627165
161.0,-3.6424377081617734,5.853887002018937,-3.820714171840091,-2.6108366170161865,-0.17827646367831784,0.17827646367831784,0.03178249750164658
