t,μ_pos,μ_vel,μ_acc,σ2_pos,σ2_vel,σ2_acc
159,-194.20464611476226,-28.218826477776684,-3.0994283444472686,0.01424971701184748,0.021035901732125464,0.1215372134701944
160,-197.04202589965394,-28.528769312266945,-3.2398483371466105,0.014249717011843958,0.02103590173211349,0.12153721347007597
161,-199.91110206797342,-28.852754146486717,-3.3785490430807146,0.014249717011839308,0.021035901732107898,0.12153721346997991
162,-202.8132702268278,-29.19060905140086,-3.513779564889741,0.014249717011833791,0.021035901732105948,0.1215372134699054
163,-205.74990002761015,-29.54198700871402,-3.6445423614937797,0.014249717011827846,0.021035901732105636,0.1215372134698504
164,-208.72232143862013,-29.90644124585437,-3.7696338865655235,0.014249717011821837,0.021035901732105556,0.12153721346981212
165,-211.73181372853176,-30.283404635912426,-3.88724929107257,0.014249717011816073,0.021035901732104796,0.12153721346978716
166,-214.77959043321871,-30.672129566956958,-3.9944303984850547,0.014249717011810834,0.021035901732102933,0.12153721346977225
167,-217.86677554082124,-31.0715726088514,-4.089163077316069,0.014249717011806275,0.021035901732099942,0.12153721346976455
168,-220.99437861412466,-31.480488918925648,-4.170180477886581,0.014249717011802485,0.02103590173209594,0.12153721346976126
169,-224.16327840498175,-31.897506969399718,-4.235484780302888,0.014249717011799456,0.02103590173209115,0.12153721346976033
170,-227.37420652527467,-32.32105545017017,-4.283834321807527,0.014249717011797164,0.02103590173208596,0.12153721346976025
171,-230.62773124221485,-32.74943888505956,-4.315155826538644,0.014249717011795511,0.02103590173208069,0.12153721346975999
172,-233.92425090759698,-33.1809544706478,-4.328842231004966,0.014249717011794411,0.02103590173207565,0.12153721346975901
173,-237.2639905652596,-33.61383869673814,-4.3240142248484,0.01424971701179369,0.021035901732070966,0.12153721346975689
174,-240.64699450864669,-34.04624012195456,-4.301306832656702,0.014249717011793292,0.021035901732066924,0.12153721346975391
175,-244.0731250545523,-34.47637080799671,-4.2613875465877955,0.0142497170117931,0.0210359017320636,0.12153721346975015
176,-247.5420690731369,-34.90250956542691,-4.204130987944396,0.014249717011793018,0.021035901732060876,0.12153721346974578
177,-251.0533406864775,-35.32292266680689,-4.130134116487337,0.014249717011792994,0.021035901732058816,0.12153721346974117
178,-254.60628362897899,-35.73593608051729,-4.041614629182961,0.014249717011792989,0.021035901732057306,0.1215372134697366
179,-258.2000853138104,-36.14009754513367,-3.94134515750045,0.01424971701179298,0.02103590173205635,0.12153721346973242
180,-261.83380180019844,-36.53423206197342,-3.832363523553903,0.014249717011792935,0.02103590173205572,0.12153721346972864
181,-265.50638682672286,-36.91746841514781,-3.7174185220818843,0.014249717011792855,0.021035901732055377,0.12153721346972542
182,-269.21672076325063,-37.289210267934536,-3.598107520508621,0.014249717011792737,0.021035901732055214,0.12153721346972275
183,-272.9636323335024,-37.64902101997814,-3.477011164535894,0.014249717011792593,0.021035901732055124,0.12153721346972059
184,-276.7459194959666,-37.996722135960084,-3.3574105472157303,0.014249717011792428,0.021035901732055124,0.12153721346971899
185,-280.56237876925957,-38.33246318951386,-3.242932111662557,0.01424971701179228,0.021035901732055145,0.12153721346971791
186,-284.411839756959,-38.656756398693666,-3.1383103847853517,0.014249717011792118,0.021035901732055096,0.12153721346971713
187,-288.2932069564442,-38.97058743441639,-3.0485083245966282,0.01424971701179197,0.021035901732055058,0.12153721346971667
188,-292.2055082483771,-39.275438263433706,-2.9780759048147027,0.014249717011791844,0.02103590173205499,0.12153721346971644
189,-296.1479424583013,-39.57324585006693,-2.93042716427847,0.014249717011791741,0.02103590173205489,0.12153721346971637
190,-300.1199191803244,-39.866288562527515,-2.9072032302966706,0.014249717011791674,0.021035901732054774,0.12153721346971644
191,-304.1210840514645,-40.157008881716614,-2.9083824650163326,0.014249717011791594,0.021035901732054618,0.12153721346971644
192,-308.1513268463706,-40.4478471249355,-2.9318228149058285,0.014249717011791544,0.021035901732054454,0.12153721346971644
193,-312.21077066465995,-40.74102940397204,-2.973190086267065,0.014249717011791512,0.021035901732054305,0.1215372134697164
194,-316.2997395461517,-41.03834841107769,-3.026979408175879,0.014249717011791492,0.021035901732054163,0.12153721346971633
195,-320.4187092776109,-41.341046351043566,-3.0881826337466394,0.014249717011791469,0.021035901732054035,0.12153721346971617
196,-324.5682548191042,-41.64986461424469,-3.152590594782482,0.014249717011791466,0.021035901732053948,0.12153721346971613
197,-328.7490042281602,-41.96512367408344,-3.2164150184766256,0.014249717011791476,0.021035901732053913,0.12153721346971605
198,-332.96159866401894,-42.2867651769557,-3.2759107788441,0.014249717011791476,0.021035901732053868,0.12153721346971585
199,-337.2066547320069,-42.61435625622459,-3.327876733587263,0.01424971701179147,0.021035901732053816,0.1215372134697157
200,-341.48472973700586,-42.947143931397335,-3.369846277093978,0.014249717011791469,0.021035901732053792,0.12153721346971559
201,-345.7962933592201,-43.284128561151974,-3.399756074656163,0.014249717011791469,0.021035901732053774,0.12153721346971555
202,-350.1417049942761,-43.62410417080616,-3.4164362581213212,0.014249717011791459,0.02103590173205374,0.12153721346971544
203,-354.521197594481,-43.965747798623745,-3.4200122864843014,0.014249717011791466,0.021035901732053747,0.12153721346971535
204,-358.93487244139965,-44.30774902871474,-3.4128146751078345,0.014249717011791454,0.021035901732053698,0.12153721346971524
205,-363.38271142275295,-44.64903049715767,-3.3981965763190773,0.014249717011791445,0.021035901732053698,0.12153721346971516
206,-367.864605459083,-44.98885015534841,-3.3789201492725596,0.014249717011791419,0.02103590173205365,0.12153721346971505
207,-372.3803850774444,-45.326742170626304,-3.356801877890212,0.014249717011791415,0.021035901732053632,0.12153721346971501
208,-376.9298433032494,-45.66242235883064,-3.332289553843939,0.014249717011791426,0.021035901732053653,0.12153721346971505
209,-381.51274698271607,-45.995651315049315,-3.303872953234585,0.014249717011791426,0.021035901732053684,0.12153721346971512
210,-386.1288314749095,-46.32603861161406,-3.268969865390911,0.014249717011791417,0.021035901732053667,0.12153721346971516
211,-390.77778018420537,-46.652935599514,-3.2259333817368243,0.014249717011791426,0.021035901732053684,0.12153721346971505
212,-395.4592034120399,-46.97552893895115,-3.1746953382639362,0.014249717011791427,0.02103590173205367,0.12153721346971505
213,-400.1726297869365,-47.292998473610105,-3.116907217902121,0.014249717011791424,0.021035901732053656,0.12153721346971505
214,-404.91751417383244,-47.60468919588829,-3.0549926717448184,0.014249717011791424,0.021035901732053663,0.12153721346971505
215,-409.6932580584188,-47.91018846338644,-2.990540563019619,0.01424971701179142,0.021035901732053663,0.12153721346971505
216,-414.4992296105498,-48.20924251971485,-2.9249935052358182,0.014249717011791415,0.021035901732053653,0.12153721346971509
217,-419.33477883045674,-48.5017418702237,-2.85940984406113,0.014249717011791417,0.021035901732053667,0.12153721346971505
218,-424.19925006619593,-48.78768285466556,-2.7937600638844637,0.014249717011791424,0.0210359017320537,0.12153721346971509
219,-429.0919871505233,-49.067058861235815,-2.727430918968854,0.01424971701179142,0.021035901732053698,0.12153721346971512
220,-434.0123301933211,-49.33980195310632,-2.660616424156561,0.014249717011791424,0.021035901732053736,0.12153721346971516
221,-438.9596134737246,-49.60586359519833,-2.5948952343361316,0.014249717011791424,0.02103590173205375,0.1215372134697152
222,-443.93317431158977,-49.86535311809114,-2.53187551955975,0.014249717011791427,0.02103590173205376,0.12153721346971516
223,-448.9323690045043,-50.118540669155756,-2.4733327433639087,0.014249717011791436,0.021035901732053785,0.12153721346971516
224,-453.9565897394842,-50.36587394216609,-2.4217215477715284,0.01424971701179144,0.021035901732053802,0.12153721346971512
